metier;sexe;annee_naissance;random_id_client;enfant_conduite_accompagne;nombre_enfants;tranches_salaires;Tranche_valeur_residence_principale;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande.1;etat_dossier;formule;Tranche_tarif_devis
journaliste reporter d'images;M;2020;46787633837;FAUX;VRAI;+ 80K;200 - 300K;Private;z_SUV;0;14.0;Highly Urban/ Urban;08/04/2022;complet;dev_integral;300 - 400€
éducateur spécialisé spécialisée;F;1941;33343766397;FAUX;FAUX;40 - 60K;0 - 0K;Private;z_SUV;0;6.0;Highly Urban/ Urban;25/04/2022;complet;dev_integral;300 - 400€
fiscaliste;M;1938;42958296067;FAUX;FAUX;40 - 60K;100 - 200K;Private;Sports Car;1;19.0;Highly Urban/ Urban;09/01/2022;complet;dev_express;200 - 300€
charpentier bois;F;2005;5538245984;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Pickup;1;9.0;Highly Urban/ Urban;19/01/2022;incomplet;dev_premium;300 - 400€
chargé des méthodes outils et qualité en informatique;M;1982;58388283103;FAUX;FAUX;0 - 20K;0 - 0K;Private;Minivan;2;6.0;z_Highly Rural/ Rural;05/02/2022;complet;dev_integral;300 - 400€
médecin spécialiste;M;1935;9159200592;FAUX;FAUX;+ 80K;400 - 500K;Private;Minivan;2;14.0;Highly Urban/ Urban;01/03/2022;complet;dev_integral;200 - 300€
secrétaire médical;M;1960;43673613424;FAUX;FAUX;0 - 20K;Inconnu;Private;Sports Car;2;20.0;z_Highly Rural/ Rural;14/02/2022;complet;dev_premium;400 - 500€
verrier au chalumeau;F;1993;55281715747;FAUX;VRAI;+ 80K;0 - 0K;Commercial;Pickup;7;7.0;Highly Urban/ Urban;13/02/2022;complet;dev_integral;200 - 300€
technicien pétrolier pétrolière;M;1966;55751788217;VRAI;VRAI;Inconnu;100 - 200K;Commercial;Pickup;2;1.0;z_Highly Rural/ Rural;11/03/2022;complet;dev_premium;300 - 400€
ébéniste;M;1965;6480389431;VRAI;VRAI;60 - 80K;200 - 300K;Commercial;z_SUV;1;13.0;Highly Urban/ Urban;12/01/2022;complet;dev_express;200 - 300€
ingénieur en imagerie médicale;F;1963;8650201810;VRAI;VRAI;0 - 20K;0 - 100K;Private;Minivan;0;13.0;Highly Urban/ Urban;10/03/2022;complet;dev_integral;300 - 400€
développeur d'applications mobiles;M;1959;41525000984;FAUX;FAUX;+ 80K;500 - 600K;Commercial;Panel Truck;0;6.0;Highly Urban/ Urban;10/05/2022;complet;dev_express;200 - 300€
webdesigner;M;1980;27339951000;FAUX;FAUX;+ 80K;200 - 300K;Private;Minivan;1;12.0;Highly Urban/ Urban;23/02/2022;incomplet;dev_integral;200 - 300€
vendeur en micro-informatique et multimédia;F;1999;54176153392;FAUX;FAUX;+ 80K;300 - 400K;Private;Sports Car;1;13.0;Highly Urban/ Urban;13/01/2022;incomplet;dev_integral;300 - 400€
ethnologue;F;2013;40648129827;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;z_SUV;3;1.0;Highly Urban/ Urban;11/01/2022;complet;dev_premium;400 - 500€
concepteur multimédia;M;1992;23767365005;FAUX;FAUX;Inconnu;100 - 200K;Private;Sports Car;0;7.0;z_Highly Rural/ Rural;05/05/2022;complet;dev_premium;400 - 500€
biostatisticien;F;1966;57673763839;FAUX;VRAI;60 - 80K;200 - 300K;Private;Minivan;1;15.0;Highly Urban/ Urban;21/02/2022;complet;dev_integral;300 - 400€
ébéniste;M;1952;33998780798;VRAI;VRAI;40 - 60K;Inconnu;Commercial;Pickup;1;9.0;Highly Urban/ Urban;11/02/2022;incomplet;dev_express;200 - 300€
chauffeur de taxi;M;1970;53864283699;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Van;0;13.0;Highly Urban/ Urban;07/04/2022;complet;dev_premium;400 - 500€
administrateur de spectacle;M;1954;54896028204;FAUX;FAUX;60 - 80K;0 - 0K;Commercial;Minivan;2;7.0;Highly Urban/ Urban;07/02/2022;complet;dev_integral;200 - 300€
hydrogéologue;M;1988;7017394746;FAUX;VRAI;0 - 20K;0 - 0K;Commercial;Sports Car;0;1.0;Highly Urban/ Urban;28/01/2022;incomplet;dev_express;200 - 300€
assistant maternel maternelle;F;2019;49981058928;FAUX;VRAI;20 - 40K;0 - 0K;Commercial;z_SUV;0;7.0;z_Highly Rural/ Rural;28/05/2022;complet;dev_express;200 - 300€
carrossier;M;1959;47878617646;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;0;7.0;Highly Urban/ Urban;03/03/2022;complet;dev_integral;300 - 400€
décolleteur;M;2000;17833562902;FAUX;VRAI;+ 80K;0 - 0K;Private;Minivan;0;16.0;Highly Urban/ Urban;07/02/2022;complet;dev_integral;300 - 400€
opérateur prépresse;F;1987;42779780062;FAUX;FAUX;+ 80K;200 - 300K;Private;z_SUV;0;15.0;z_Highly Rural/ Rural;07/01/2022;complet;dev_premium;300 - 400€
mécanicien et technicien;M;1962;14330701514;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Minivan;0;8.0;z_Highly Rural/ Rural;10/02/2022;incomplet;dev_premium;+ 500€
responsable qualité en agroalimentaire;M;2017;49819845853;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Minivan;0;7.0;Highly Urban/ Urban;26/02/2022;complet;dev_premium;400 - 500€
conseiller en fusions-acquisitions;M;2008;52128742177;FAUX;FAUX;+ 80K;400 - 500K;Private;Van;0;18.0;Highly Urban/ Urban;07/04/2022;complet;dev_integral;300 - 400€
chargé de valorisation de la recherche;F;1951;35391633269;FAUX;FAUX;+ 80K;0 - 0K;Private;Sports Car;4;21.0;Highly Urban/ Urban;22/03/2022;complet;dev_express;200 - 300€
conseiller agricole;F;2010;34363506467;FAUX;FAUX;+ 80K;0 - 0K;Private;z_SUV;1;13.0;z_Highly Rural/ Rural;12/01/2022;complet;dev_integral;300 - 400€
militaire du rang de l'armée de terre;M;1968;16673831644;VRAI;VRAI;20 - 40K;0 - 0K;Private;Sports Car;0;11.0;Highly Urban/ Urban;10/03/2022;complet;dev_integral;300 - 400€
staffeur-ornemaniste;F;2017;50083449062;FAUX;FAUX;40 - 60K;Inconnu;Commercial;Sports Car;2;;Highly Urban/ Urban;11/02/2022;complet;dev_integral;200 - 300€
scénariste;F;1994;21410090510;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;2;;z_Highly Rural/ Rural;17/04/2022;complet;dev_express;200 - 300€
conseiller en séjour;M;1954;57801792187;FAUX;VRAI;Inconnu;200 - 300K;Private;Minivan;3;5.0;Highly Urban/ Urban;20/05/2022;complet;dev_integral;300 - 400€
responsable de rémunération;F;2005;9870323521;FAUX;FAUX;+ 80K;0 - 0K;Commercial;Panel Truck;0;17.0;z_Highly Rural/ Rural;08/01/2022;complet;dev_express;200 - 300€
pilote de ligne;M;2005;31937696746;FAUX;FAUX;+ 80K;0 - 0K;Private;Sports Car;3;14.0;Highly Urban/ Urban;14/03/2022;complet;dev_express;200 - 300€
administrateur de biens;M;2003;26830310888;FAUX;FAUX;+ 80K;200 - 300K;Private;Pickup;0;10.0;Highly Urban/ Urban;23/05/2022;complet;dev_integral;200 - 300€
technicien des industries du verre;M;2004;39366087144;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Sports Car;1;11.0;Highly Urban/ Urban;09/04/2022;complet;dev_integral;300 - 400€
lad-jockey, lad-driver;M;2005;26388647921;FAUX;FAUX;40 - 60K;100 - 200K;Private;Van;0;18.0;Highly Urban/ Urban;28/04/2022;complet;dev_integral;300 - 400€
agent de sûreté ferroviaire;M;2008;9985447861;FAUX;FAUX;20 - 40K;100 - 200K;Private;Pickup;3;1.0;z_Highly Rural/ Rural;17/02/2022;complet;dev_premium;+ 500€
écrivain;F;1960;44589177489;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;2;11.0;Highly Urban/ Urban;16/04/2022;complet;dev_express;200 - 300€
commissaire-priseur;M;2012;35605723678;FAUX;FAUX;+ 80K;504144;Private;Minivan;0;13.0;Highly Urban/ Urban;14/04/2022;complet;dev_express;200 - 300€
chef de rayon;M;1964;22876393615;FAUX;VRAI;0 - 20K;0 - 0K;Private;z_SUV;1;8.0;Highly Urban/ Urban;31/05/2022;incomplet;dev_express;200 - 300€
trader;M;1985;2973688441;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Minivan;0;9.0;Highly Urban/ Urban;26/04/2022;complet;dev_premium;400 - 500€
opérateur sur machine à commande numérique;M;1977;47492058555;FAUX;FAUX;40 - 60K;200 - 300K;Private;Sports Car;4;1.0;Highly Urban/ Urban;24/04/2022;complet;dev_integral;200 - 300€
architecte produit industriel;F;1960;56946941659;FAUX;FAUX;+ 80K;Inconnu;Private;z_SUV;1;8.0;Highly Urban/ Urban;09/05/2022;incomplet;dev_integral;200 - 300€
webmestre;M;2004;40201941737;FAUX;FAUX;40 - 60K;Inconnu;Private;Pickup;0;8.0;Highly Urban/ Urban;03/03/2022;complet;dev_integral;300 - 400€
monteur en installations thermiques et climatiques;M;2020;3695943667;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;1;15.0;Highly Urban/ Urban;18/03/2022;complet;dev_integral;300 - 400€
tapissier d'ameublement;F;1931;29767701408;FAUX;FAUX;40 - 60K;200 - 300K;Private;Sports Car;2;8.0;Highly Urban/ Urban;28/04/2022;complet;dev_integral;200 - 300€
ingénieur brevets;F;2007;54551806333;FAUX;VRAI;+ 80K;200 - 300K;Commercial;Van;1;7.0;Highly Urban/ Urban;22/03/2022;complet;dev_express;200 - 300€
ingénieur traitement de l'image;F;2003;37049063983;VRAI;VRAI;60 - 80K;Inconnu;Commercial;Pickup;4;10.0;Highly Urban/ Urban;08/02/2022;complet;dev_integral;300 - 400€
collaborateur de notaire de notaire;F;1997;41489746596;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Panel Truck;0;;z_Highly Rural/ Rural;08/02/2022;complet;dev_integral;300 - 400€
agent immobilier immobilière;F;1957;9483706256;FAUX;FAUX;20 - 40K;0 - 0K;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;07/02/2022;complet;dev_integral;200 - 300€
assistant de gestion en PME;F;1950;11346597095;FAUX;VRAI;60 - 80K;100 - 200K;Commercial;Pickup;2;1.0;Highly Urban/ Urban;22/03/2022;complet;dev_express;200 - 300€
technicien chimiste;F;1940;52929083372;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Pickup;1;1.0;Highly Urban/ Urban;13/04/2022;complet;dev_premium;300 - 400€
chef de fabrication des industries graphiques;M;1956;36001821712;VRAI;VRAI;0 - 20K;Inconnu;Private;Sports Car;4;1.0;Highly Urban/ Urban;16/02/2022;complet;dev_premium;400 - 500€
employé de chai;F;2008;46728010797;FAUX;FAUX;0 - 20K;0 - 100K;Private;Minivan;0;7.0;Highly Urban/ Urban;01/03/2022;complet;dev_integral;300 - 400€
libraire;F;1993;29101379303;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;17/01/2022;complet;dev_integral;200 - 300€
administrateur de biens;M;1967;16201223767;VRAI;VRAI;0 - 20K;0 - 100K;Private;Minivan;2;7.0;z_Highly Rural/ Rural;21/05/2022;complet;dev_integral;300 - 400€
esthéticien-cosméticien;M;1965;34353290794;FAUX;VRAI;20 - 40K;Inconnu;Private;Sports Car;1;8.0;Highly Urban/ Urban;06/01/2022;incomplet;dev_premium;400 - 500€
économiste de la construction;F;1976;35208425761;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;6;17.0;Highly Urban/ Urban;17/04/2022;complet;dev_premium;300 - 400€
opérateur de raffinerie;F;2004;44168109711;FAUX;FAUX;60 - 80K;200 - 300K;Private;z_SUV;0;1.0;Highly Urban/ Urban;13/02/2022;complet;dev_integral;300 - 400€
conducteur de bus ou d'autocar;M;1951;28839129377;FAUX;VRAI;+ 80K;300 - 400K;Private;Minivan;0;25.0;Highly Urban/ Urban;08/03/2022;complet;dev_express;200 - 300€
aide-soignant;M;1966;18818831101;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Minivan;1;9.0;z_Highly Rural/ Rural;01/05/2022;complet;dev_integral;300 - 400€
mixeur son;M;1996;27085441697;FAUX;FAUX;+ 80K;500309;Commercial;Pickup;0;16.0;Highly Urban/ Urban;10/02/2022;complet;dev_integral;300 - 400€
militaire technicien de l'air (MTA);F;1994;26809581474;FAUX;VRAI;+ 80K;200 - 300K;Private;Sports Car;0;;Highly Urban/ Urban;17/03/2022;complet;dev_integral;300 - 400€
militaire du rang de l'armée de terre;M;1960;19422718816;FAUX;FAUX;20 - 40K;0 - 0K;Commercial;z_SUV;1;8.0;z_Highly Rural/ Rural;10/02/2022;complet;dev_premium;300 - 400€
professeur d'éducation physique et sportive (EPS);F;1964;33850935294;FAUX;FAUX;40 - 60K;100 - 200K;Private;z_SUV;0;1.0;Highly Urban/ Urban;16/01/2022;complet;dev_integral;300 - 400€
accompagnateur en moyenne montagne;M;1956;34101644702;FAUX;VRAI;40 - 60K;100 - 200K;Commercial;Minivan;6;1.0;Highly Urban/ Urban;05/01/2022;complet;dev_integral;200 - 300€
ingénieur logiciel;F;1982;24045818278;VRAI;VRAI;+ 80K;500 - 600K;Commercial;Panel Truck;0;18.0;Highly Urban/ Urban;11/01/2022;complet;dev_vip;+ 500€
ingénieur d'études en sûreté nucléaire;M;1968;43525617116;FAUX;VRAI;40 - 60K;200 - 300K;Commercial;z_SUV;0;1.0;Highly Urban/ Urban;11/03/2022;complet;dev_integral;300 - 400€
technicien thermicien thermicienne;F;1947;54881082973;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;0;1.0;z_Highly Rural/ Rural;10/01/2022;complet;dev_integral;300 - 400€
chef de projet web/mobile;M;1969;14867542219;VRAI;VRAI;20 - 40K;100 - 200K;Commercial;Van;1;1.0;Highly Urban/ Urban;15/05/2022;complet;dev_integral;200 - 300€
conseiller agricole;F;1953;54146172188;VRAI;VRAI;Inconnu;100 - 200K;Private;z_SUV;2;6.0;z_Highly Rural/ Rural;03/01/2022;complet;dev_integral;300 - 400€
mandataire judiciaire;F;1951;35815768044;FAUX;FAUX;+ 80K;0 - 0K;Private;Minivan;1;11.0;Highly Urban/ Urban;22/01/2022;complet;dev_integral;300 - 400€
rudologue;F;1945;26136513014;FAUX;FAUX;20 - 40K;Inconnu;Commercial;Pickup;1;4.0;Highly Urban/ Urban;03/04/2022;complet;dev_premium;300 - 400€
chirurgien;F;1997;57731727858;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Pickup;4;14.0;z_Highly Rural/ Rural;15/03/2022;complet;dev_integral;300 - 400€
ingénieur fluides, énergies, réseaux, environnement;M;1949;49202600715;FAUX;FAUX;0 - 20K;0 - 100K;Private;Van;2;22.0;z_Highly Rural/ Rural;11/05/2022;complet;dev_vip;+ 500€
moniteur d'activités équestres;M;1971;43592539282;FAUX;VRAI;60 - 80K;0 - 0K;Private;Minivan;5;16.0;Highly Urban/ Urban;20/02/2022;complet;dev_premium;+ 500€
hydraulicien;M;1979;44385959659;FAUX;FAUX;20 - 40K;100 - 200K;Private;Sports Car;0;6.0;Highly Urban/ Urban;07/03/2022;complet;dev_integral;300 - 400€
réflexologue;M;1980;5799303874;VRAI;VRAI;+ 80K;300 - 400K;Commercial;Pickup;4;18.0;Highly Urban/ Urban;11/04/2022;complet;dev_integral;300 - 400€
fiscaliste;M;1947;4735540836;VRAI;VRAI;0 - 20K;0 - 100K;Private;z_SUV;0;1.0;Highly Urban/ Urban;21/01/2022;complet;dev_premium;+ 500€
moniteur-éducateur;M;2017;8317314075;FAUX;FAUX;60 - 80K;0 - 0K;Private;Minivan;0;12.0;Highly Urban/ Urban;22/03/2022;complet;dev_integral;300 - 400€
comptable;F;1972;21546610433;FAUX;FAUX;40 - 60K;0 - 0K;Commercial;Minivan;4;13.0;Highly Urban/ Urban;11/04/2022;complet;dev_integral;300 - 400€
vétérinaire;F;2014;10229998436;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;2;1.0;Highly Urban/ Urban;17/01/2022;complet;dev_integral;300 - 400€
designer graphique;M;2001;3532826839;VRAI;VRAI;+ 80K;300 - 400K;Private;z_SUV;4;15.0;Highly Urban/ Urban;08/04/2022;complet;dev_integral;300 - 400€
auxiliaire de puériculture;F;2003;50052928244;FAUX;VRAI;0 - 20K;0 - 0K;Commercial;z_SUV;3;8.0;z_Highly Rural/ Rural;10/05/2022;complet;dev_express;200 - 300€
gestionnaire actif/passif;M;1986;26034116744;FAUX;VRAI;0 - 20K;0 - 0K;Private;z_SUV;1;1.0;z_Highly Rural/ Rural;23/02/2022;complet;dev_integral;200 - 300€
gendarme;M;1945;42867144135;FAUX;FAUX;60 - 80K;0 - 0K;Commercial;Pickup;2;11.0;Highly Urban/ Urban;10/02/2022;incomplet;dev_express;200 - 300€
régisseur lumière;M;1956;29475479541;FAUX;VRAI;60 - 80K;200 - 300K;Private;Pickup;1;1.0;z_Highly Rural/ Rural;02/04/2022;complet;dev_express;200 - 300€
maître d'hôtel;M;1938;1606393767;VRAI;VRAI;0 - 20K;0 - 100K;Private;Sports Car;0;8.0;Highly Urban/ Urban;24/03/2022;incomplet;dev_integral;300 - 400€
animalier de laboratoire;F;1979;45259519087;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Pickup;1;6.0;Highly Urban/ Urban;15/02/2022;complet;dev_integral;200 - 300€
barman;M;1943;53745590744;FAUX;FAUX;20 - 40K;0 - 0K;Commercial;Minivan;0;1.0;z_Highly Rural/ Rural;08/01/2022;complet;dev_express;200 - 300€
musicien;M;1938;50170928244;FAUX;VRAI;+ 80K;200 - 300K;Commercial;Pickup;4;16.0;Highly Urban/ Urban;24/03/2022;complet;dev_integral;300 - 400€
ingénieur électronicien électronicienne des systèmes de la sécurité aérienne (IESSA);F;1959;9367226863;FAUX;VRAI;60 - 80K;200 - 300K;Commercial;z_SUV;5;11.0;Highly Urban/ Urban;24/05/2022;complet;dev_integral;200 - 300€
conducteur de travaux  agricoles;F;1991;7561904507;FAUX;FAUX;40 - 60K;200 - 300K;Private;Minivan;5;15.0;Highly Urban/ Urban;17/01/2022;complet;dev_integral;200 - 300€
conseiller pénitentiaire d'insertion et de probation;M;1953;41692307579;VRAI;VRAI;60 - 80K;0 - 0K;Commercial;z_SUV;3;1.0;Highly Urban/ Urban;17/03/2022;complet;dev_integral;200 - 300€
masseur;M;1998;634603410;FAUX;FAUX;40 - 60K;0 - 0K;Private;Minivan;0;1.0;z_Highly Rural/ Rural;18/03/2022;complet;dev_integral;300 - 400€
inspecteur du permis de conduire et de la sécurité routière;F;2013;20016527974;VRAI;VRAI;20 - 40K;0 - 0K;Commercial;Van;1;5.0;Highly Urban/ Urban;05/01/2022;complet;dev_express;200 - 300€
community manager;M;2002;12556864095;FAUX;FAUX;+ 80K;300 - 400K;Commercial;Van;0;5.0;Highly Urban/ Urban;13/05/2022;complet;dev_premium;300 - 400€
credit manager;M;1953;31938360260;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;0;8.0;z_Highly Rural/ Rural;14/01/2022;complet;dev_express;200 - 300€
médiateur familial familiale;F;1955;6721791707;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;1;1.0;Highly Urban/ Urban;16/01/2022;complet;dev_premium;400 - 500€
médiateur familial familiale;M;1993;58000972765;VRAI;VRAI;60 - 80K;200 - 300K;Private;Sports Car;3;10.0;Highly Urban/ Urban;22/01/2022;incomplet;dev_integral;300 - 400€
chef de publicité;M;2015;18259909528;FAUX;FAUX;Inconnu;400 - 500K;Commercial;Panel Truck;5;9.0;Highly Urban/ Urban;06/04/2022;incomplet;dev_integral;300 - 400€
consultant en validation;F;1988;45623285062;FAUX;VRAI;20 - 40K;0 - 0K;Commercial;z_SUV;1;6.0;Highly Urban/ Urban;13/04/2022;complet;dev_integral;300 - 400€
professeur-documentaliste;M;1970;39278135077;FAUX;FAUX;40 - 60K;100 - 200K;Private;Minivan;3;20.0;Highly Urban/ Urban;26/05/2022;incomplet;dev_express;200 - 300€
technicien de fabrication de mobilier et de menuiserie;F;1982;37258584901;FAUX;FAUX;20 - 40K;100 - 200K;Private;z_SUV;0;;Highly Urban/ Urban;01/04/2022;incomplet;dev_integral;300 - 400€
charcutier-traiteur;F;2019;17434972354;FAUX;FAUX;+ 80K;200 - 300K;Private;z_SUV;0;11.0;Highly Urban/ Urban;09/03/2022;complet;dev_express;200 - 300€
technicien démonstrateur démonstratrice en matériel agricole;M;1957;19680448516;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;0;1.0;Highly Urban/ Urban;15/03/2022;complet;dev_express;200 - 300€
diététicien;M;1959;35353525877;FAUX;FAUX;+ 80K;200 - 300K;Commercial;Van;2;8.0;z_Highly Rural/ Rural;07/02/2022;complet;dev_integral;300 - 400€
matelot de la Marine Nationale;M;1945;24334855974;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Minivan;0;3.0;Highly Urban/ Urban;08/03/2022;complet;dev_express;200 - 300€
conducteur de travaux  agricoles;F;1991;1629324176;FAUX;VRAI;+ 80K;0 - 0K;Private;Sports Car;0;14.0;Highly Urban/ Urban;11/05/2022;incomplet;dev_express;200 - 300€
chargé de recherche en recrutement;F;1995;58703227994;FAUX;VRAI;0 - 20K;0 - 0K;Commercial;Pickup;0;5.0;Highly Urban/ Urban;07/01/2022;complet;dev_premium;400 - 500€
biologiste médical;M;1977;1358968889;FAUX;FAUX;20 - 40K;0 - 0K;Private;Minivan;0;15.0;Highly Urban/ Urban;13/04/2022;complet;dev_premium;400 - 500€
matelot de la marine marchande;M;1943;45997826502;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;0;20.0;Highly Urban/ Urban;30/05/2022;complet;dev_integral;300 - 400€
ingénieur en production et expérimentations végétales;F;2018;24773980938;FAUX;FAUX;40 - 60K;0 - 0K;Commercial;Pickup;4;8.0;Highly Urban/ Urban;10/03/2022;complet;dev_premium;400 - 500€
coordonnateur d'études cliniques;M;1948;15937449517;FAUX;FAUX;Inconnu;0 - 0K;Commercial;Van;2;20.0;Highly Urban/ Urban;24/01/2022;incomplet;dev_premium;300 - 400€
bottier;F;1939;40058781364;VRAI;VRAI;40 - 60K;100 - 200K;Commercial;Panel Truck;2;1.0;Highly Urban/ Urban;12/01/2022;incomplet;dev_premium;400 - 500€
technico-commercial en agroalimentaire;F;1982;41291520225;FAUX;FAUX;+ 80K;200 - 300K;Private;z_SUV;1;8.0;Highly Urban/ Urban;02/05/2022;complet;dev_express;200 - 300€
technicien des industries du verre;F;1973;51847168807;FAUX;FAUX;20 - 40K;200 - 300K;Private;Pickup;2;1.0;Highly Urban/ Urban;04/05/2022;complet;dev_express;200 - 300€
chercheur en biologie;M;2016;17887811632;FAUX;FAUX;0 - 20K;0 - 0K;Private;Minivan;2;12.0;Highly Urban/ Urban;17/05/2022;complet;dev_express;200 - 300€
responsable de la collecte des déchets ménagers;M;1969;3025964211;FAUX;FAUX;40 - 60K;200 - 300K;Commercial;Sports Car;0;3.0;z_Highly Rural/ Rural;27/03/2022;incomplet;dev_integral;200 - 300€
chargé d'études économiques;M;1972;53628860247;FAUX;FAUX;40 - 60K;0 - 0K;Private;Minivan;0;11.0;Highly Urban/ Urban;25/04/2022;complet;dev_express;200 - 300€
commerçant en alimentation;M;1945;39278420401;VRAI;VRAI;+ 80K;300 - 400K;Private;Sports Car;1;7.0;Highly Urban/ Urban;31/03/2022;incomplet;dev_integral;300 - 400€
pisteur secouriste;M;1989;6154725951;FAUX;FAUX;+ 80K;300 - 400K;Private;Minivan;1;10.0;z_Highly Rural/ Rural;11/05/2022;complet;dev_express;200 - 300€
dépanneur en électroménager;M;1973;959318701;FAUX;VRAI;40 - 60K;0 - 0K;Private;z_SUV;1;12.0;Highly Urban/ Urban;05/02/2022;complet;dev_integral;200 - 300€
chef de chantier;F;1963;16582055433;FAUX;VRAI;0 - 20K;0 - 0K;Private;Minivan;6;1.0;z_Highly Rural/ Rural;03/03/2022;complet;dev_express;200 - 300€
contrôleur de gestion;M;1963;46895363294;VRAI;VRAI;20 - 40K;0 - 100K;Private;z_SUV;0;5.0;z_Highly Rural/ Rural;18/05/2022;complet;dev_integral;300 - 400€
ingénieur forestier forestière;F;1982;50615036997;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Minivan;0;9.0;z_Highly Rural/ Rural;25/02/2022;complet;dev_integral;300 - 400€
designer industriel industrielle;M;1945;32032645387;FAUX;FAUX;20 - 40K;100 - 200K;Commercial;Panel Truck;5;5.0;Highly Urban/ Urban;18/01/2022;complet;dev_vip;+ 500€
juriste en droit social;F;1967;49744811482;FAUX;FAUX;0 - 20K;0 - 100K;Private;Minivan;3;7.0;Highly Urban/ Urban;08/05/2022;complet;dev_premium;+ 500€
coordonnateur d'études cliniques;M;1958;39373957685;FAUX;VRAI;40 - 60K;100 - 200K;Private;z_SUV;0;5.0;Highly Urban/ Urban;19/02/2022;complet;dev_express;200 - 300€
sous-officier de l'armée de terre;F;2018;19236209786;FAUX;FAUX;Inconnu;200 - 300K;Commercial;Pickup;6;3.0;Highly Urban/ Urban;10/01/2022;complet;dev_express;200 - 300€
mécanicien-réparateur en matériel agricole;M;1996;12682803017;FAUX;FAUX;20 - 40K;100 - 200K;Private;Pickup;0;10.0;Highly Urban/ Urban;29/05/2022;incomplet;dev_integral;300 - 400€
concepteur de niveaux de jeu web;F;1953;30538167717;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Minivan;1;1.0;z_Highly Rural/ Rural;30/03/2022;complet;dev_express;200 - 300€
technicien en traitement des déchets;F;2002;4807114385;VRAI;VRAI;60 - 80K;100 - 200K;Private;Van;1;;Highly Urban/ Urban;07/05/2022;complet;dev_express;200 - 300€
consultant en conduite de changement;F;2011;970368575;FAUX;FAUX;20 - 40K;100 - 200K;Private;Minivan;0;1.0;Highly Urban/ Urban;20/05/2022;complet;dev_express;200 - 300€
gestionnaire de contrats d'assurance;F;1972;51548969650;FAUX;FAUX;40 - 60K;100 - 200K;Commercial;Van;3;21.0;Highly Urban/ Urban;07/05/2022;complet;dev_integral;300 - 400€
statisticien en analyse sensorielle;M;1953;38163775763;FAUX;FAUX;40 - 60K;200 - 300K;Commercial;z_SUV;0;1.0;Highly Urban/ Urban;04/04/2022;complet;dev_premium;400 - 500€
chargé d'études en valorisation agricole des déchets;F;2007;10901188159;FAUX;FAUX;60 - 80K;200 - 300K;Private;Sports Car;0;10.0;Highly Urban/ Urban;04/03/2022;complet;dev_express;200 - 300€
géologue modélisateur;M;1954;36853092238;FAUX;FAUX;Inconnu;Inconnu;Commercial;Panel Truck;1;;Highly Urban/ Urban;11/02/2022;complet;dev_integral;200 - 300€
sage-femme;F;1939;32597444127;VRAI;VRAI;0 - 20K;0 - 0K;Commercial;z_SUV;0;7.0;Highly Urban/ Urban;31/03/2022;complet;dev_premium;400 - 500€
directeur de restaurant;F;1955;2915074478;FAUX;FAUX;+ 80K;0 - 0K;Private;Van;0;1.0;Highly Urban/ Urban;26/01/2022;complet;dev_express;200 - 300€
auditeur qualité;M;1943;29945602928;VRAI;VRAI;Inconnu;0 - 0K;Commercial;Sports Car;2;1.0;Highly Urban/ Urban;13/02/2022;complet;dev_integral;300 - 400€
conseiller espace info-énergie;M;2017;26496976700;FAUX;FAUX;+ 80K;300 - 400K;Private;Pickup;0;17.0;Highly Urban/ Urban;15/01/2022;complet;dev_premium;400 - 500€
responsable e-CRM;M;2000;30295002816;FAUX;FAUX;60 - 80K;200 - 300K;Commercial;Panel Truck;0;9.0;Highly Urban/ Urban;23/02/2022;complet;dev_integral;300 - 400€
